mountain,course,from,to,minutes,source
"オプタテシケ山","望岳台ルート","望岳台","オプタテシケ山","400","推定CT（固定座標・標高差＋確認済みCT回帰）"
"渡島駒ヶ岳","赤井川登山口・6合目駐車場ルート","赤井川登山口・6合目駐車場","渡島駒ヶ岳（剣ヶ峯）","160","推定CT（固定座標・標高差＋確認済みCT回帰）"
"燧ヶ岳","小沢平登山口ルート","小沢平登山口","燧ヶ岳（柴安嵓）","380","推定CT（固定座標・標高差＋確認済みCT回帰）"
"男鹿岳","深山園地・塩那道路ゲートルート","深山園地・塩那道路ゲート","男鹿岳","290","推定CT（固定座標・標高差＋確認済みCT回帰）"
"景鶴山","鳩待峠（尾瀬側起点）ルート","鳩待峠（尾瀬側起点）","景鶴山","280","推定CT（固定座標・標高差＋確認済みCT回帰）"
"草津白根山","白根火山・湯釜側起点ルート","白根火山・湯釜側起点","草津白根山（白根山）","60","推定CT（固定座標・標高差＋確認済みCT回帰）"
"諏訪山","浜平登山口ルート","浜平登山口","諏訪山（上野村）","220","推定CT（固定座標・標高差＋確認済みCT回帰）"
"朝日岳（群馬）","湯檜曽公園・白毛門登山口側ルート","湯檜曽公園・白毛門登山口側","朝日岳（群馬）","400","推定CT（固定座標・標高差＋確認済みCT回帰）"
"斑尾山","斑尾高原スキー場ルート","斑尾高原スキー場","斑尾山","130","推定CT（固定座標・標高差＋確認済みCT回帰）"
"焼山","焼山林道第2ゲート（焼山ルート起点）ルート","焼山林道第2ゲート（焼山ルート起点）","新潟焼山","380","推定CT（固定座標・標高差＋確認済みCT回帰）"
"焼山","金山登山口（小谷側）ルート","金山登山口（小谷側）","新潟焼山","340","推定CT（固定座標・標高差＋確認済みCT回帰）"
"毛勝山","片貝登山口（東又第五発電所登山口）ルート","片貝登山口（東又第五発電所登山口）","毛勝山","370","推定CT（固定座標・標高差＋確認済みCT回帰）"
"赤牛岳","折立登山口ルート","折立登山口","赤牛岳","530","推定CT（固定座標・標高差＋確認済みCT回帰）"
"餓鬼岳","中房登山口ルート","中房登山口","餓鬼岳","360","推定CT（固定座標・標高差＋確認済みCT回帰）"
"安平路山","摺古木自然園入口ルート","摺古木自然園入口","安平路山","240","推定CT（固定座標・標高差＋確認済みCT回帰）"
"安平路山","大平宿（林道規制時起点）ルート","大平宿（林道規制時起点）","安平路山","440","推定CT（固定座標・標高差＋確認済みCT回帰）"
"和名倉山（白石山）","三ノ瀬（民宿みはらし）ルート","三ノ瀬（民宿みはらし）","和名倉山（白石山）","330","推定CT（固定座標・標高差＋確認済みCT回帰）"
"箱根山","大涌谷登山口ルート","大涌谷登山口","箱根山","90","推定CT（固定座標・標高差＋確認済みCT回帰）"
"鋸岳","北沢峠ルート","北沢峠","鋸岳","230","推定CT（固定座標・標高差＋確認済みCT回帰）"
"大無間山","田代・大無間山登山口ルート","田代・大無間山登山口","大無間山","420","推定CT（固定座標・標高差＋確認済みCT回帰）"
"黒法師岳","戸中山林道ゲートルート","戸中山林道ゲート","黒法師岳","370","推定CT（固定座標・標高差＋確認済みCT回帰）"
"大笠山","ブナオ峠（大笠山ルート）ルート","ブナオ峠（大笠山ルート）","大笠山","310","推定CT（固定座標・標高差＋確認済みCT回帰）"
"笈ヶ岳","中宮温泉ビジターセンター（笈ヶ岳ルート起点）ルート","中宮温泉ビジターセンター（笈ヶ岳ルート起点）","笈ヶ岳","310","推定CT（固定座標・標高差＋確認済みCT回帰）"
"猿ヶ馬場山","村営せせらぎ公園駐車場（猿ヶ馬場山残雪期ルート起点）ルート","村営せせらぎ公園駐車場（猿ヶ馬場山残雪期ルート起点）","猿ヶ馬場山","150","推定CT（固定座標・標高差＋確認済みCT回帰）"
"護摩壇山","護摩壇山森林公園ワイルドライフルート","護摩壇山森林公園ワイルドライフ","護摩壇山","110","推定CT（固定座標・標高差＋確認済みCT回帰）"
"桜島（御岳）","湯之平展望所（一般立入可能な最高地点・山頂入山不可）ルート","湯之平展望所（一般立入可能な最高地点・山頂入山不可）","桜島（御岳・北岳）","180","推定CT（固定座標・標高差＋確認済みCT回帰）"
