mountain,course,from,to,minutes,source
"利尻山","沓形登山口ルート","利尻山","沓形登山口","200","推定CT（固定座標・標高差＋確認済みCT回帰）"
"羅臼岳","羅臼温泉登山口ルート","羅臼岳","羅臼温泉登山口","290","推定CT（固定座標・標高差＋確認済みCT回帰）"
"斜里岳","清岳荘登山口ルート","斜里岳","清岳荘登山口","140","推定CT（固定座標・標高差＋確認済みCT回帰）"
"オプタテシケ山","美瑛富士登山口ルート","オプタテシケ山","美瑛富士登山口","330","推定CT（固定座標・標高差＋確認済みCT回帰）"
"オプタテシケ山","望岳台ルート","望岳台","オプタテシケ山","400","推定CT（固定座標・標高差＋確認済みCT回帰）"
"オプタテシケ山","望岳台ルート","オプタテシケ山","望岳台","440","推定CT（固定座標・標高差＋確認済みCT回帰）"
"ニペソツ山","幌加温泉コース登山口ルート","ニペソツ山","幌加温泉コース登山口","420","推定CT（固定座標・標高差＋確認済みCT回帰）"
"幌尻岳","イドンナップ山荘駐車場（新冠陽希コース）ルート","幌尻岳","イドンナップ山荘駐車場（新冠陽希コース）","490","推定CT（固定座標・標高差＋確認済みCT回帰）"
"カムイエクウチカウシ山","札内川ヒュッテ駐車場ルート","カムイエクウチカウシ山","札内川ヒュッテ駐車場","510","推定CT（固定座標・標高差＋確認済みCT回帰）"
"ペテガリ岳","神威山荘（ペテガリ岳アプローチ起点）ルート","ペテガリ岳","神威山荘（ペテガリ岳アプローチ起点）","370","推定CT（固定座標・標高差＋確認済みCT回帰）"
"神威岳","神威山荘・神威岳登山口ルート","神威岳","神威山荘・神威岳登山口","220","推定CT（固定座標・標高差＋確認済みCT回帰）"
"芦別岳","新道登山口ルート","芦別岳","新道登山口","260","推定CT（固定座標・標高差＋確認済みCT回帰）"
"芦別岳","山部自然公園太陽の里 芦別岳登山口ルート","芦別岳","山部自然公園太陽の里 芦別岳登山口","250","推定CT（固定座標・標高差＋確認済みCT回帰）"
"余市岳","キロロリゾート・赤井川コース入口ルート","余市岳","キロロリゾート・赤井川コース入口","250","推定CT（固定座標・標高差＋確認済みCT回帰）"
"樽前山","7合目ルート","樽前山","7合目登山口","80","推定CT（固定座標・標高差＋確認済みCT回帰）"
"後方羊蹄山","京極登山口ルート","後方羊蹄山（羊蹄山）","京極登山口","210","推定CT（固定座標・標高差＋確認済みCT回帰）"
"渡島駒ヶ岳","赤井川登山口・6合目駐車場ルート","赤井川登山口・6合目駐車場","渡島駒ヶ岳（剣ヶ峯）","160","推定CT（固定座標・標高差＋確認済みCT回帰）"
"渡島駒ヶ岳","赤井川登山口・6合目駐車場ルート","渡島駒ヶ岳（剣ヶ峯）","赤井川登山口・6合目駐車場","120","推定CT（固定座標・標高差＋確認済みCT回帰）"
"大千軒岳","奥二股登山口駐車場ルート","大千軒岳","奥二股登山口駐車場","190","推定CT（固定座標・標高差＋確認済みCT回帰）"
"八甲田山","八甲田ロープウェー山頂公園駅ルート","八甲田山（大岳）","八甲田ロープウェー山頂公園駅","130","推定CT（固定座標・標高差＋確認済みCT回帰）"
"乳頭山（烏帽子岳）","滝ノ上温泉・乳頭山登山口ルート","乳頭山（烏帽子岳）","滝ノ上温泉・乳頭山登山口","200","推定CT（固定座標・標高差＋確認済みCT回帰）"
"乳頭山（烏帽子岳）","黒湯温泉ルート","乳頭山（烏帽子岳）","黒湯温泉","140","推定CT（固定座標・標高差＋確認済みCT回帰）"
"秋田駒ヶ岳","八合目小屋 秋田駒ヶ岳ルート","秋田駒ヶ岳（男女岳）","八合目小屋 秋田駒ヶ岳","50","推定CT（固定座標・標高差＋確認済みCT回帰）"
"岩手山","御神坂登山口ルート","岩手山","御神坂登山口","260","推定CT（固定座標・標高差＋確認済みCT回帰）"
"早池峰山","小田越ルート","早池峰山","小田越登山口","110","推定CT（固定座標・標高差＋確認済みCT回帰）"
"和賀岳","甘露水口・薬師岳登山口駐車場ルート","和賀岳","甘露水口・薬師岳登山口駐車場","260","推定CT（固定座標・標高差＋確認済みCT回帰）"
"太平山","旭又登山口ルート","太平山","旭又登山口","150","推定CT（固定座標・標高差＋確認済みCT回帰）"
"摩耶山","越沢口ルート","摩耶山","越沢口","110","推定CT（固定座標・標高差＋確認済みCT回帰）"
"以東岳","泡滝ダム・大鳥登山口ルート","以東岳","泡滝ダム・大鳥登山口","390","推定CT（固定座標・標高差＋確認済みCT回帰）"
"大朝日岳","日暮沢登山口駐車場（日暮沢小屋）ルート","大朝日岳","日暮沢登山口駐車場（日暮沢小屋）","360","推定CT（固定座標・標高差＋確認済みCT回帰）"
"船形山","大滝キャンプ場・船形山登山口ルート","船形山（御所山）","大滝キャンプ場・船形山登山口","110","推定CT（固定座標・標高差＋確認済みCT回帰）"
"泉ヶ岳","泉ヶ岳大駐車場ルート","泉ヶ岳","泉ヶ岳大駐車場","140","推定CT（固定座標・標高差＋確認済みCT回帰）"
"蔵王山（熊野岳）","蔵王ロープウェイ地蔵山頂駅ルート","蔵王山（熊野岳）","蔵王ロープウェイ地蔵山頂駅","70","推定CT（固定座標・標高差＋確認済みCT回帰）"
