mountain,course,from,to,minutes,source
"オプタテシケ山","望岳台ルート","望岳台","オプタテシケ山","400","推定CT（固定座標・標高差＋確認済みCT回帰）"
"幌尻岳","イドンナップ山荘駐車場（新冠陽希コース）ルート","イドンナップ山荘駐車場（新冠陽希コース）","幌尻岳","500","推定CT（固定座標・標高差＋確認済みCT回帰）"
"カムイエクウチカウシ山","札内川ヒュッテ駐車場ルート","札内川ヒュッテ駐車場","カムイエクウチカウシ山","490","推定CT（固定座標・標高差＋確認済みCT回帰）"
"ペテガリ岳","神威山荘（ペテガリ岳アプローチ起点）ルート","神威山荘（ペテガリ岳アプローチ起点）","ペテガリ岳","390","推定CT（固定座標・標高差＋確認済みCT回帰）"
"神威岳","神威山荘・神威岳登山口ルート","神威山荘・神威岳登山口","神威岳","290","推定CT（固定座標・標高差＋確認済みCT回帰）"
"渡島駒ヶ岳","赤井川登山口・6合目駐車場ルート","赤井川登山口・6合目駐車場","渡島駒ヶ岳（剣ヶ峯）","160","推定CT（固定座標・標高差＋確認済みCT回帰）"
"乳頭山（烏帽子岳）","滝ノ上温泉・乳頭山登山口ルート","滝ノ上温泉・乳頭山登山口","乳頭山（烏帽子岳）","230","推定CT（固定座標・標高差＋確認済みCT回帰）"
"摩耶山","越沢口ルート","越沢口","摩耶山","170","推定CT（固定座標・標高差＋確認済みCT回帰）"
"七ヶ岳","会津高原たかつえスキー場・七ヶ岳登山口ルート","会津高原たかつえスキー場・七ヶ岳登山口","七ヶ岳","220","推定CT（固定座標・標高差＋確認済みCT回帰）"
"荒海山","八総鉱山跡・荒海山登山駐車場ルート","八総鉱山跡・荒海山登山駐車場","荒海山（太郎岳）","200","推定CT（固定座標・標高差＋確認済みCT回帰）"
"燧ヶ岳","小沢平登山口ルート","小沢平登山口","燧ヶ岳（柴安嵓）","380","推定CT（固定座標・標高差＋確認済みCT回帰）"
"大滝根山","高塚高原キャンプ場駐車場ルート","高塚高原キャンプ場駐車場","大滝根山","70","推定CT（固定座標・標高差＋確認済みCT回帰）"
"杁差岳","奥胎内ヒュッテ（足ノ松尾根ルート起点）ルート","奥胎内ヒュッテ（足ノ松尾根ルート起点）","杁差岳","360","推定CT（固定座標・標高差＋確認済みCT回帰）"
"三本槍岳","那須ロープウェイ・峠の茶屋側ルート","那須ロープウェイ・峠の茶屋側","三本槍岳","170","推定CT（固定座標・標高差＋確認済みCT回帰）"
"男鹿岳","深山園地・塩那道路ゲートルート","深山園地・塩那道路ゲート","男鹿岳","290","推定CT（固定座標・標高差＋確認済みCT回帰）"
"景鶴山","鳩待峠（尾瀬側起点）ルート","鳩待峠（尾瀬側起点）","景鶴山","280","推定CT（固定座標・標高差＋確認済みCT回帰）"
"女峰山","滝尾神社登山口ルート","滝尾神社登山口","女峰山","450","推定CT（固定座標・標高差＋確認済みCT回帰）"
"皇海山","銀山平・皇海山登山者駐車場ルート","銀山平・皇海山登山者駐車場","皇海山","390","推定CT（固定座標・標高差＋確認済みCT回帰）"
"草津白根山","白根火山・湯釜側起点ルート","白根火山・湯釜側起点","草津白根山（白根山）","60","推定CT（固定座標・標高差＋確認済みCT回帰）"
"妙義山（相馬岳）","妙義神社入口・登山者駐車場ルート","妙義神社入口・登山者駐車場","妙義山（相馬岳）","140","推定CT（固定座標・標高差＋確認済みCT回帰）"
"諏訪山","楢原・樽原登山口ルート","楢原・樽原登山口","諏訪山（上野村）","210","推定CT（固定座標・標高差＋確認済みCT回帰）"
"諏訪山","浜平登山口ルート","浜平登山口","諏訪山（上野村）","220","推定CT（固定座標・標高差＋確認済みCT回帰）"
